1.02E+00,1.37E-01
1.35E+00,-7.50E-01
1.84E+00,-1.63E+00
2.40E+00,-2.46E+00
3.03E+00,-3.19E+00
3.73E+00,-3.82E+00
4.57E+00,-4.37E+00
5.49E+00,-4.80E+00
6.43E+00,-5.09E+00
7.48E+00,-5.14E+00
8.36E+00,-4.90E+00
8.99E+00,-4.34E+00
8.98E+00,-3.35E+00
8.59E+00,-2.47E+00
8.06E+00,-1.55E+00
7.49E+00,-6.92E-01
6.94E+00,2.12E-02
6.48E+00,8.47E-01
6.33E+00,1.83E+00
6.38E+00,2.85E+00
6.69E+00,3.81E+00
7.13E+00,4.62E+00
7.28E+00,5.63E+00
6.97E+00,6.44E+00
6.03E+00,6.78E+00
5.07E+00,6.86E+00
4.07E+00,6.74E+00
3.20E+00,6.29E+00
2.50E+00,5.61E+00
1.90E+00,4.84E+00
1.42E+00,3.98E+00
1.11E+00,3.03E+00
9.48E-01,2.07E+00
8.86E-01,1.10E+00
