time;type;message
1650833964.8217459;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1650833965.2787976;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.457s)
