time;type;message
1650833913.015979;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1650833913.366287;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.350s)
